GT_plane,Matched_solution_plane,score
Plane_11.ts,group_8.ts,0.996426
Plane_5.ts,group_19.ts,3.21138e-05
Plane_4.ts,group_2.ts,0.996426
Plane_15.ts,group_7.ts,0.988088
Plane_1.ts,group_12.ts,0.998146
Plane_14.ts,group_3.ts,0.997017
Plane_6.ts,group_13.ts,0.422778
Plane_2.ts,group_14.ts,0.998474
Plane_13.ts,group_0.ts,0.997054
Plane_3.ts,group_1.ts,0.996217
Plane_10.ts,group_4.ts,0.142881
Plane_9.ts,group_6.ts,0.997728
Plane_8.ts,group_10.ts,0.997128
Plane_12.ts,group_11.ts,0.998453
Plane_7.ts,group_9.ts,0.915698
OVERALL_SCORE: 0.838773
